,title,abstract,journal,link,category
610,"Generational political dynamics of retirement pensions systems: An agent
  based model","The increasing difficulties in financing the welfare state and in particular
public retirement pensions have been one of the outcomes both of the decrease
of fertility and birth rates combined with the increase of life expectancy. The
dynamics of retirement pensions are usually studied in Economics using
overlapping generation models. These models are based on simplifying
assumptions like the use of a representative agent to ease the problem of
tractability. Alternatively, we propose to use agent-based modelling (ABM),
relaxing the need for those assumptions and enabling the use of interacting and
heterogeneous agents assigning special importance to the study of
inter-generational relations. We treat pension dynamics both in economics and
political perspectives. The model we build, following the ODD protocol, will
try to understand the dynamics of choice of public versus private retirement
pensions resulting from the conflicting preferences of different agents but
also from the cooperation between them. The aggregation of these individual
preferences is done by voting. We combine a microsimulation approach following
the evolution of synthetic populations along time, with the ABM approach
studying the interactions between the different agent types. Our objective is
to depict the conditions for the survival of the public pensions system
emerging from the relation between egoistic and altruistic individual and
collective behaviours.",Advances in Neural Information Processing Systems,http://arxiv.org/abs/1909.08706v1,cs.GT
487,"Pink Work: Same-Sex Marriage, Employment and Discrimination","This paper analyzes how the legalization of same-sex marriage in the U.S.
affected gay and lesbian couples in the labor market. Results from a
difference-in-difference model show that both partners in same-sex couples were
more likely to be employed, to have a full-time contract, and to work longer
hours in states that legalized same-sex marriage. In line with a theoretical
search model of discrimination, suggestive empirical evidence supports the
hypothesis that marriage equality led to an improvement in employment outcomes
among gays and lesbians and lower occupational segregation thanks to a decrease
in discrimination towards sexual minorities.","Advances in Neural Information Processing Systems
",http://arxiv.org/abs/1807.06698v1,stat.ML
84,Selling Wind,"We offer a parsimonious model to investigate how strategic wind producers
sell energy under stochastic production constraints, where the extent of
heterogeneity of wind energy availability varies according to wind farm
locations. The main insight of our analysis is that increasing heterogeneity in
resource availability improves social welfare, as a function of its effects
both on improving diversification and on reducing withholding by firms. We show
that this insight is quite robust for any concave and downward-sloping inverse
demand function. The model is also used to analyze the effect of heterogeneity
on firm profits and opportunities for collusion. Finally, we analyze the
impacts of improving public information and weather forecasting; enhanced
public forecasting increases welfare, but it is not always in the best
interests of strategic producers.",American Economic Journal of Microeconomics,http://arxiv.org/abs/1812.11420v1,econ.TH
165,"Sion's mini-max theorem and Nash equilibrium in a five-players game with
  two groups which is zero-sum and symmetric in each group","We consider the relation between Sion's minimax theorem for a continuous
function and a Nash equilibrium in a five-players game with two groups which is
zero-sum and symmetric in each group. We will show the following results.
  1. The existence of Nash equilibrium which is symmetric in each group implies
Sion's minimax theorem for a pair of playes in each group. 2. Sion's minimax
theorem for a pair of playes in each group imply the existence of a Nash
equilibrium which is symmetric in each group.
  Thus, they are equivalent. An example of such a game is a relative profit
maximization game in each group under oligopoly with two groups such that firms
in each group have the same cost functions and maximize their relative profits
in each group, and the demand functions are symmetric for the firms in each
group.",American Economic Review ,http://arxiv.org/abs/1809.02466v1,econ.EM
445,Bemerkungen zum paarweisen Vergleich,"The simple pairwise comparison is a method to provide different criteria with
weights. We show that the values of those weights (in particular the maximum)
depend just on the number of criteria. Additionally, it is shown that the
distance between the weights is always the same.
  -----
  Der einfache paarweise Vergleich ist ein Verfahren verschiedene Kriterien mit
einer Gewichtung zu versehen. Wir zeigen, dass die Werte dieser Gewichte
(insbesondere auch der maximale Wert) ausschlie{\ss}lich von der Anzahl der
Kriterien abh\""angt. Dar\""uber hinaus wird gezeigt, dass der Abstand der
Gewichtungen stets gleich ist.",American Journal of Criminal Justice,http://arxiv.org/abs/2003.10978v1,stat.OT
316,Designing An Industrial Policy For Developing Countries: A New Approach,"In this study, the prevalent methodology for design of the industrial policy
in developing countries was critically assessed, and it was shown that the
mechanism and content of classical method is fundamentally contradictory to the
goals and components of the endogenous growth theories. This study, by
proposing a new approach, along settling Schumpeter's economic growth theory as
a policy framework, designed the process of entering, analyzing and processing
data as the mechanism of the industrial policy in order to provide ""theoretical
consistency"" and ""technical and Statistical requirements"" for targeting the
growth stimulant factor effectively.",American Mathematical Monthly,http://arxiv.org/abs/1901.04265v1,econ.TH
320,The Economic Complexity of US Metropolitan Areas,"We calculate measures of economic complexity for US metropolitan areas for
the years 2007-2015 based on industry employment data. We show that the concept
of economic complexity translates well from the cross-country to the regional
setting, and is able to incorporate local as well as traded industries. The
largest cities and the Northeast of the US have the highest average complexity,
while traded industries are more complex than local-serving ones on average,
but with some exceptions. On average, regions with higher complexity have a
higher income per capita, but those regions also were more affected by the
financial crisis. Finally, economic complexity is a significant predictor of
within-decreases in income per capita and population. Our findings highlight
the importance of subnational regions, and particularly metropolitan areas, as
units of economic geography.",Annals of Contemporary Developments in Management & HR,http://arxiv.org/abs/1901.08112v1,econ.GN
441,"Compromise, Don't Optimize: Generalizing Perfect Bayesian Equilibrium to
  Allow for Ambiguity","We introduce a solution concept for extensive-form games of incomplete
information in which players need not assign likelihoods to what they do not
know about the game. This is embedded in a model in which players can hold
multiple priors. Players make choices by looking for compromises that yield a
good performance under each of their updated priors. Our solution concept is
called perfect compromise equilibrium. It generalizes perfect Bayesian
equilibrium. We show how it deals with ambiguity in Cournot and Bertrand
markets, public good provision, Spence's job market signaling, bilateral trade
with common value, and forecasting.",Annals of Operations Research,http://arxiv.org/abs/2003.02539v2,econ.GN
156,"How much income inequality is fair? Nash bargaining solution and its
  connection to entropy","The question about fair income inequality has been an important open question
in economics and in political philosophy for over two centuries with only
qualitative answers such as the ones suggested by Rawls, Nozick, and Dworkin.
We provided a quantitative answer recently, for an ideal free-market society,
by developing a game-theoretic framework that proved that the ideal inequality
is a lognormal distribution of income at equilibrium. In this paper, we develop
another approach, using the Nash Bargaining Solution (NBS) framework, which
also leads to the same conclusion. Even though the conclusion is the same, the
new approach, however, reveals the true nature of NBS, which has been of
considerable interest for several decades. Economists have wondered about the
economic meaning or purpose of the NBS. While some have alluded to its fairness
property, we show more conclusively that it is all about fairness. Since the
essence of entropy is also fairness, we see an interesting connection between
the Nash product and entropy for a large population of rational economic
agents.",Annals of Operations Research ,http://arxiv.org/abs/1806.05262v1,econ.EM
415,"Estimating Trade-Related Adjustment Costs in the Agricultural Sector in
  Iran","Tariff liberalization and its impact on tax revenue is an important
consideration for developing countries, because they are increasingly facing
the difficult task of implementing and harmonizing regional and international
trade commitments. The tariff reform and its costs for Iranian government is
one of the issues that are examined in this study. Another goal of this paper
is, estimating the cost of trade liberalization. On this regard, imports value
of agricultural sector in Iran in 2010 was analyzed according to two scenarios.
For reforming nuisance tariff, a VAT policy is used in both scenarios. In this
study, TRIST method is used. In the first scenario, imports' value decreased to
a level equal to the second scenario and higher tariff revenue will be created.
The results show that reducing the average tariff rate does not always result
in the loss of tariff revenue. This paper is a witness that different forms of
tariff can generate different amount of income when they have same level of
liberalization and equal effect on producers. Therefore, using a good tariff
regime can help a government to generate income when increases social welfare
by liberalization.",Annals of Statistics,http://arxiv.org/abs/1806.04238v1,math.ST
435,All-Pay Auctions with Different Forfeits,"In an auction each party bids a certain amount and the one which bids the
highest is the winner. Interestingly, auctions can also be used as models for
other real-world systems. In an all pay auction all parties must pay a forfeit
for bidding. In the most commonly studied all pay auction, parties forfeit
their entire bid, and this has been considered as a model for expenditure on
political campaigns. Here we consider a number of alternative forfeits which
might be used as models for different real-world competitions, such as
preparing bids for defense or infrastructure contracts.",Annals of Statistics,http://arxiv.org/abs/2002.02599v1,math.ST
460,"Labor Market Outcomes and Early Schooling: Evidence from School Entry
  Policies Using Exact Date of Birth","We use a rich, census-like Brazilian dataset containing information on
spatial mobility, schooling, and income in which we can link children to
parents to assess the impact of early education on several labor market
outcomes. Brazilian public primary schools admit children up to one year
younger than the national minimum age to enter school if their birthday is
before an arbitrary threshold, causing an exogenous variation in schooling at
adulthood. Using a Regression Discontinuity Design, we estimate one additional
year of schooling increases labor income in 25.8% - almost twice as large as
estimated using mincerian models. Around this cutoff there is also a gap of
9.6% on the probability of holding a college degree in adulthood, with which we
estimate the college premium and find a 201% increase in labor income. We test
the robustness of our estimates using placebo variables, alternative model
specifcations and McCrary Density Tests.",Annals of Statistics,http://arxiv.org/abs/1905.13281v1,math.ST
469,A Model of Presidential Debates,"Presidential debates are viewed as providing an important public good by
revealing information on candidates to voters. We consider an endogenous model
of presidential debates in which an incumbent and a challenger (who is
privately informed about her own quality) publicly announce whether they are
willing to participate in a public debate, taking into account that a voter's
choice of candidate depends on her beliefs regarding the candidates' qualities
and on the state of nature.It is found that in equilibrium a debate occurs or
does not occur independently of the challenger's quality and therefore the
candidates' announcements are uninformative. This is because opting-out is
perceived to be worse than losing a debate and therefore the challenger never
refuses to participate.",Annals of Statistics ,http://arxiv.org/abs/1907.01362v10,stat.ME
244,"Nighttime Light, Superlinear Growth, and Economic Inequalities at the
  Country Level","Research has highlighted relationships between size and scaled growth across
a large variety of biological and social organisms, ranging from bacteria,
through animals and plants, to cities an companies. Yet, heretofore,
identifying a similar relationship at the country level has proven challenging.
One reason is that, unlike the former, countries have predefined borders, which
limit their ability to grow ""organically."" This paper addresses this issue by
identifying and validating an effective measure of organic growth at the
country level: nighttime light emissions, which serve as a proxy of energy
allocations where more productive activity takes place. This indicator is
compared to population size to illustrate that while nighttime light emissions
are associated with superlinear growth, population size at the country level is
associated with sublinear growth. These relationships and their implications
for economic inequalities are then explored using high-resolution geospatial
datasets spanning the last three decades.",Annual Review of Economics,http://arxiv.org/abs/1810.12996v1,stat.AP
420,Semiparametrically Point-Optimal Hybrid Rank Tests for Unit Roots,"We propose a new class of unit root tests that exploits invariance properties
in the Locally Asymptotically Brownian Functional limit experiment associated
to the unit root model. The invariance structures naturally suggest tests that
are based on the ranks of the increments of the observations, their average,
and an assumed reference density for the innovations. The tests are
semiparametric in the sense that they are valid, i.e., have the correct
(asymptotic) size, irrespective of the true innovation density. For a correctly
specified reference density, our test is point-optimal and nearly efficient.
For arbitrary reference densities, we establish a Chernoff-Savage type result,
i.e., our test performs as well as commonly used tests under Gaussian
innovations but has improved power under other, e.g., fat-tailed or skewed,
innovation distributions. To avoid nonparametric estimation, we propose a
simplified version of our test that exhibits the same asymptotic properties,
except for the Chernoff-Savage result that we are only able to demonstrate by
means of simulations.",Annual Review of Economics,http://arxiv.org/abs/1806.09304v1,math.ST
191,A $t$-test for synthetic controls,"We propose a practical and robust method for making inferences on average
treatment effects estimated by synthetic controls. We develop a $K$-fold
cross-fitting procedure for bias-correction. To avoid the difficult estimation
of the long-run variance, inference is based on a self-normalized
$t$-statistic, which has an asymptotically pivotal $t$-distribution. Our
$t$-test is easy to implement, provably robust against misspecification, valid
with non-stationary data, and demonstrates an excellent small sample
performance. Compared to difference-in-differences, our method often yields
more than 50% shorter confidence intervals and is robust to violations of
parallel trends assumptions. An R-package for implementing our methods is
available.",Annual Review of Resource Economics ,http://arxiv.org/abs/1812.10820v6,econ.GN
136,Sorting and filtering as effective rational choice procedures,"Many online shops offer functionality that help their customers navigate the
available alternatives. For instance, options to filter and to sort goods are
wide-spread. In this paper we show that sorting and filtering can be used by
rational consumers to find their most preferred choice -- quickly. We
characterize the preferences which can be expressed through filtering and
sorting and show that these preferences exhibit a simple and intuitive logical
structure.","Applied Economics
",http://arxiv.org/abs/1809.06766v3,econ.GN
99,Unravelling the forces underlying urban industrial agglomeration,"As early as the 1920's Marshall suggested that firms co-locate in cities to
reduce the costs of moving goods, people, and ideas. These 'forces of
agglomeration' have given rise, for example, to the high tech clusters of San
Francisco and Boston, and the automobile cluster in Detroit. Yet, despite its
importance for city planners and industrial policy-makers, until recently there
has been little success in estimating the relative importance of each
Marshallian channel to the location decisions of firms.
  Here we explore a burgeoning literature that aims to exploit the co-location
patterns of industries in cities in order to disentangle the relationship
between industry co-agglomeration and customer/supplier, labour and idea
sharing. Building on previous approaches that focus on across- and
between-industry estimates, we propose a network-based method to estimate the
relative importance of each Marshallian channel at a meso scale. Specifically,
we use a community detection technique to construct a hierarchical
decomposition of the full set of industries into clusters based on
co-agglomeration patterns, and show that these industry clusters exhibit
distinct patterns in terms of their relative reliance on individual Marshallian
channels.",Applied Economics and Finance,http://arxiv.org/abs/1903.09279v2,econ.GN
115,Endogenous growth - A dynamic technology augmentation of the Solow model,"In this paper, I endeavour to construct a new model, by extending the classic
exogenous economic growth model by including a measurement which tries to
explain and quantify the size of technological innovation ( A ) endogenously. I
do not agree technology is a ""constant"" exogenous variable, because it is
humans who create all technological innovations, and it depends on how much
human and physical capital is allocated for its research. I inspect several
possible approaches to do this, and then I test my model both against sample
and real world evidence data. I call this method ""dynamic"" because it tries to
model the details in resource allocations between research, labor and capital,
by affecting each other interactively. In the end, I point out which is the new
residual and the parts of the economic growth model which can be further
improved.",Applied Economics and Finance,http://arxiv.org/abs/1805.00668v1,econ.GN
116,Optimal Linear Instrumental Variables Approximations,"This paper studies the identification and estimation of the optimal linear
approximation of a structural regression function. The parameter in the linear
approximation is called the Optimal Linear Instrumental Variables Approximation
(OLIVA). This paper shows that a necessary condition for standard inference on
the OLIVA is also sufficient for the existence of an IV estimand in a linear
model. The instrument in the IV estimand is unknown and may not be identified.
A Two-Step IV (TSIV) estimator based on Tikhonov regularization is proposed,
which can be implemented by standard regression routines. We establish the
asymptotic normality of the TSIV estimator assuming neither completeness nor
identification of the instrument. As an important application of our analysis,
we robustify the classical Hausman test for exogeneity against misspecification
of the linear structural model. We also discuss extensions to weighted least
squares criteria. Monte Carlo simulations suggest an excellent finite sample
performance for the proposed inferences. Finally, in an empirical application
estimating the elasticity of intertemporal substitution (EIS) with US data, we
obtain TSIV estimates that are much larger than their standard IV counterparts,
with our robust Hausman test failing to reject the null hypothesis of
exogeneity of real interest rates.",Applied Economics and Finance,http://arxiv.org/abs/1805.03275v3,econ.GN
248,"Health Care Expenditures, Financial Stability, and Participation in the
  Supplemental Nutrition Assistance Program (SNAP)","This paper examines the association between household healthcare expenses and
participation in the Supplemental Nutrition Assistance Program (SNAP) when
moderated by factors associated with financial stability of households. Using a
large longitudinal panel encompassing eight years, this study finds that an
inter-temporal increase in out-of-pocket medical expenses increased the
likelihood of household SNAP participation in the current period. Financially
stable households with precautionary financial assets to cover at least 6
months worth of household expenses were significantly less likely to
participate in SNAP. The low income households who recently experienced an
increase in out of pocket medical expenses but had adequate precautionary
savings were less likely than similar households who did not have precautionary
savings to participate in SNAP. Implications for economists, policy makers, and
household finance professionals are discussed.",Applied Economics and Finance,http://arxiv.org/abs/1811.05421v1,econ.GN
483,"Factor models with many assets: strong factors, weak factors, and the
  two-pass procedure","This paper re-examines the problem of estimating risk premia in linear factor
pricing models. Typically, the data used in the empirical literature are
characterized by weakness of some pricing factors, strong cross-sectional
dependence in the errors, and (moderately) high cross-sectional dimensionality.
Using an asymptotic framework where the number of assets/portfolios grows with
the time span of the data while the risk exposures of weak factors are
local-to-zero, we show that the conventional two-pass estimation procedure
delivers inconsistent estimates of the risk premia. We propose a new estimation
procedure based on sample-splitting instrumental variables regression. The
proposed estimator of risk premia is robust to weak included factors and to the
presence of strong unaccounted cross-sectional error dependence. We derive the
many-asset weak factor asymptotic distribution of the proposed estimator, show
how to construct its standard errors, verify its performance in simulations,
and revisit some empirical studies.",Applied Economics and Finance,http://arxiv.org/abs/1807.04094v2,econ.GN
457,The role of pawnshops in risk coping in early twentieth-century Japan,"This study examines the role of pawnshops as a risk-coping device in prewar
Japan. Using data on pawnshop loans for more than 250 municipalities and
exploiting the 1918-1920 influenza pandemic as a natural experiment, we find
that the adverse health shock increased the total amount of loans from
pawnshops. This is because those who regularly relied on pawnshops borrowed
more money from them than usual to cope with the adverse health shock, and not
because the number of people who used pawnshops increased.",Applied Economics and Finance ,http://arxiv.org/abs/1905.04419v2,econ.GN
22,"Apropiación privada de renta de recursos naturales? El caso del cobre
  en Chile","Unexpected increases of natural resource prices can generate rents, value
that should be recovered by the State to minimize inefficiencies, avoid
arbitrary discrimination between citizens and keep a sustainable trajectory. As
a case study about private appropriation of natural resource rent, this work
explores the case of copper in Chile since 1990, empirically analyzing if the
12 main private mining companies have recovered in present value more than
their investment during their life cycle. The results of this exercise,
applicable to other natural resources, indicate that some actually have,
capturing about US$ 40 billion up to 2012. Elaborating an adequate
institutional framework for future deposits remain important challenges for
Chile to plentifully take advantage of its mining potential, as well as for any
country with an abundant resource base to better enjoy its natural wealth. For
that purpose, a concession known as Least Present Value Revenue (LPVR) is
proposed.",Applied Energy,http://arxiv.org/abs/1812.05093v1,econ.GN
160,CAP and Monetary Policy,"Despite the importance of CAP-related agricultural market regulation
mechanisms within Europe, the agricultural sectors in European countries retain
a degree of sensitivity to macroeconomic activity and policies. This reality
now raises the question of the effects to be expected from the implementation
of the single monetary policy on these agricultural sectors within the Monetary
Union.",Applied Energy,http://arxiv.org/abs/1807.09475v1,econ.GN
506,A Theory of the Saving Rate of the Rich,"Empirical evidence suggests that the rich have higher propensity to save than
do the poor. While this observation may appear to contradict the homotheticity
of preferences, we theoretically show that that is not the case. Specifically,
we consider an income fluctuation problem with homothetic preferences and
general shocks and prove that consumption functions are asymptotically linear,
with an exact analytical characterization of asymptotic marginal propensities
to consume (MPC). We provide necessary and sufficient conditions for the
asymptotic MPCs to be zero. We calibrate a model with standard constant
relative risk aversion utility and show that zero asymptotic MPCs are
empirically plausible, implying that our mechanism has the potential to
accommodate a large saving rate of the rich and high wealth inequality (small
Pareto exponent) as observed in the data.",Applied Energy,http://arxiv.org/abs/2005.02379v5,eess.SY
581,Social Welfare in Search Games with Asymmetric Information,"We consider games in which players search for a hidden prize, and they have
asymmetric information about the prize location. We study the social payoff in
equilibria of these games. We present sufficient conditions for the existence
of an equilibrium that yields the first-best payoff (i.e., the highest social
payoff under any strategy profile), and we characterize the first-best payoff.
The results have interesting implications for innovation contests and R&D
races.",Applied Energy,http://arxiv.org/abs/2006.14860v1,econ.GN
601,CO2 mitigation model for China's residential building sector,"This paper aims to investigate the factors that can mitigate carbon-dioxide
(CO2) intensity and further assess CMRBS in China based on a household scale
via decomposition analysis. Here we show that: Three types of housing economic
indicators and the final emission factor significantly contributed to the
decrease in CO2 intensity in the residential building sector. In addition, the
CMRBS from 2001-2016 was 1816.99 MtCO2, and the average mitigation intensity
during this period was 266.12 kgCO2/household/year. Furthermore, the
energy-conservation and emission-mitigation strategy caused CMRBS to
effectively increase and is the key to promoting a more significant emission
mitigation in the future. Overall, this paper covers the CMRBS assessment gap
in China, and the proposed assessment model can be regarded as a reference for
other countries and cities for measuring the retrospective CO2 mitigation
effect in residential buildings.",Applied Energy,http://arxiv.org/abs/1909.01249v1,q-fin.ST
382,"Crowdfunding Public Projects: Collaborative Governance for Achieving
  Citizen Co-funding of Public Goods","This study explores the potential of crowdfunding as a tool for achieving
citizen co-funding of public projects. Focusing on philanthropic crowdfunding,
we examine whether collaborative projects between public and private
organizations are more successful in fundraising than projects initiated solely
by private organizations. We argue that government involvement in crowdfunding
provides some type of accreditation or certification that attests to a project
aim to achieve public rather than private goals, thereby mitigating information
asymmetry and improving mutual trust between creators (i.e., private sector
organizations) and funders (i.e., crowd). To support this argument, we show
that crowdfunding projects with government involvement achieved a greater
success rate and attracted a greater amount of funding than comparable projects
without government involvement. This evidence shows that governments may take
advantage of crowdfunding to co-fund public projects with the citizenry for
addressing the complex challenges that we face in the twenty-first century.",Applied Energy ,http://arxiv.org/abs/1902.02480v1,econ.GN
578,"Mechanism of Instrumental Game Theory in The Legal Process via
  Stochastic Options Pricing Induction","Economic theory has provided an estimable intuition in understanding the
perplexing ideologies in law, in the areas of economic law, tort law, contract
law, procedural law and many others. Most legal systems require the parties
involved in a legal dispute to exchange information through a process called
discovery. The purpose is to reduce the relative optimisms developed by
asymmetric information between the parties. Like a head or tail phenomenon in
stochastic processes, uncertainty in the adjudication affects the decisions of
the parties in a legal negotiation. This paper therefore applies the principles
of aleatory analysis to determine how negotiations fail in the legal process,
introduce the axiological concept of optimal transaction cost and formulates a
numerical methodology based on backwards induction and stochastic options
pricing economics in estimating the reasonable and fair bargain in order to
induce settlements thereby increasing efficiency and reducing social costs.",Applied Mathematics & Optimization ,http://arxiv.org/abs/2006.11061v1,math.NA
52,Existence of Equilibrium Prices: A Pedagogical Proof,"Under the same assumptions made by Mas-Colell et al. (1995), I develop a
short, simple, and complete proof of existence of equilibrium prices based on
excess demand functions. The result is obtained by applying the Brouwer fixed
point theorem to a trimmed simplex which does not contain prices equal to zero.
The mathematical techniques are based on some results obtained in Neuefeind
(1980) and Geanakoplos (2003).",Applied Network Science,http://arxiv.org/abs/1808.03129v2,econ.GN
256,Ensemble Methods for Causal Effects in Panel Data Settings,"This paper studies a panel data setting where the goal is to estimate causal
effects of an intervention by predicting the counterfactual values of outcomes
for treated units, had they not received the treatment. Several approaches have
been proposed for this problem, including regression methods, synthetic control
methods and matrix completion methods. This paper considers an ensemble
approach, and shows that it performs better than any of the individual methods
in several economic datasets. Matrix completion methods are often given the
most weight by the ensemble, but this clearly depends on the setting. We argue
that ensemble methods present a fruitful direction for further research in the
causal panel data setting.",Artificial Intelligence,http://arxiv.org/abs/1903.10079v1,cs.GT
350,Scoring Strategic Agents,"I introduce a model of predictive scoring. A receiver wants to predict a
sender's quality. An intermediary observes multiple features of the sender and
aggregates them into a score. Based on the score, the receiver takes a
decision. The sender wants the most favorable decision, and she can distort
each feature at a privately known cost. I characterize the most accurate
scoring rule. This rule underweights some features to deter sender distortion,
and overweights other features so that the score is correct on average. The
receiver prefers this scoring rule to full disclosure because information
aggregation mitigates his commitment problem.",Asian Economic Papers,http://arxiv.org/abs/1909.01888v3,econ.GN
